Account,total_pnl,avg_daily_pnl,pnl_std,total_trades,trading_days,avg_win_rate,avg_size_usd,avg_long_ratio,freq_segment,size_segment,winner_segment,sharpe,consistency
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,21549.296287589743,42171.74469920306,12236,39,0.3254950998749796,27603.84521556422,0.563973315242438,Frequent,Large Size,Others,0.510988967643932,Consistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,2313.4301440851063,7470.04650016332,975,47,0.3411133250429654,867.1703611532234,0.3658770597634395,Infrequent,Small Size,Others,0.30969420927088165,Moderate
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,22597.66136394737,80215.01097553849,1590,19,0.20335120373383359,9367.295108536868,0.20022917078886682,Infrequent,Large Size,Others,0.2817136230379402,Moderate
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,5546.761692753847,23406.44232359817,1424,65,0.21355719975901696,4688.041802175383,0.17083222766646358,Infrequent,Large Size,Others,0.2369758554533259,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2596.5438815821917,4762.374293945578,9893,146,0.7105283610078542,3354.2092903010684,0.0907435752597254,Frequent,Small Size,Consistent Winner,0.5452204554527856,Consistent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,573.0939633461538,873.4108109517282,1559,26,0.43590574641442353,6760.1144210194525,0.4208087596016288,Infrequent,Large Size,Others,0.6561562510555775,Consistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-1821.9687476195652,38190.08942383133,4601,92,0.32028170644220266,2782.687344213111,0.09931902237345473,Frequent,Small Size,Others,-0.04770789424972059,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1213.215887148148,5511.299034566663,1911,54,0.1888747291211057,5475.174210575846,0.7392501213620407,Infrequent,Large Size,Others,0.22013247322249851,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,252.3966033103448,3367.9125184012946,14998,174,0.3051995431656707,839.021370213006,0.10535601844592778,Frequent,Small Size,Others,0.07494155561679475,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,7032.163451888889,15642.867721081608,3052,18,0.20333037461996042,12481.488695021257,0.6153839028268495,Infrequent,Large Size,Others,0.44954439155752246,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,1660.982425875,2678.372530919574,15605,64,0.2739107378656304,1273.0527781456335,0.683805769696375,Frequent,Small Size,Others,0.6201461546889856,Consistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,1968.8238992432432,7523.577871362993,417,37,0.4114921219752971,2007.3297785771122,0.3128322023490272,Infrequent,Small Size,Others,0.2616871830006464,Moderate
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.12051178745,563,15,0.29853655922621436,2959.4760618012087,0.634796774107119,Infrequent,Small Size,Others,0.5294986526852082,Consistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,1087.94158765,2029.2695425579955,534,20,0.31476939651867186,18919.354152424097,0.628087746338471,Infrequent,Large Size,Others,0.5361247310093953,Consistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,8372.588272222656,39920.90858902897,14733,256,0.2845184831155218,4495.49655852293,0.3670916410418873,Frequent,Small Size,Others,0.20972940166305218,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,642.5285948857144,12369.710508123975,4838,35,0.4325793426390197,26246.518331080708,0.260712152590755,Frequent,Large Size,Others,0.051943705106410776,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,33577.27879357143,74757.66101524414,21192,28,0.45562479214327567,4528.364242699367,0.5247822781095344,Frequent,Small Size,Others,0.4491483325932856,Moderate
